Model, Random, Lookahead, Negamax
model_4, 0.91, 0.04, 0.01
model_5, 0.77, 0.17, 0.02
model_7, 0.84, 0.0, 0.07
model_7_v5, 0.95, 0.02, 0.04
model_15, 0.8, 0.33, 0.0
model_14, 0.83, 0.41, 0.17
model_6, 0.8, 0.18, 0.12
model_2, 0.96, 0.06, 0.05
model_10, 0.87, 0.0, 0.04
model_5_v5, 0.81, 0.5, 0.04
model_11, 0.91, 0.01, 0.05
model_3, 0.86, 0.23, 0.11
model_13, 0.78, 0.02, 0.4
model_12, 0.8, 0.48, 0.13
model_1_v4, 0.87, 0.05, 0.07
model_1_v5, 0.88, 0.05, 0.09
model_1_v3, 0.91, 0.06, 0.19
model_3_v5, 0.92, 0.05, 0.03
model_6_v5, 0.92, 0.04, 0.03
model_4_v5, 0.89, 0.09, 0.19
model_2_v5, 0.93, 0.03, 0.15
model_8, 0.87, 0.01, 0.03
model_9, 0.9, 0.03, 0.06
